summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or_opposite,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,issue_year,issue_month,violation_datetime,violation_hour,violation_minute
1283294138,GBB9093,NY,PAS,2013-08-04,46,SUBN,AUDI,P,37250,13610,21190,20140831,33.0,33,33,921043,0033,0,0752A,,F,712,W 175 ST,0,408,F1,BBBBBBB,ALL,ALL,GY,0,2013,-,0,2013,August,2013-08-04 07:52:00,7.0,52.0
1283294151,62416MB,NY,COM,2013-08-04,46,VAN,FORD,P,37290,40404,40404,20140430,33.0,33,33,921043,0033,0,1240P,NY,O,201,W 177 ST,0,408,C,BBBBBBB,ALL,ALL,WH,0,2012,-,0,2013,August,2013-08-04 00:40:00,0.0,40.0
1283294175,63009MA,NY,COM,2013-08-05,46,VAN,FORD,P,37270,11710,12010,20141031,33.0,33,33,921043,0033,0,0232P,NY,O,517,W 176 ST,0,408,F1,BBBBBBB,ALL,ALL,WH,0,2010,-,0,2013,August,2013-08-05 14:32:00,14.0,32.0
1283294187,91648MC,NY,COM,2013-08-08,41,TRLR,GMC,P,37240,12010,31190,0,33.0,33,33,921043,0033,0,1239P,NY,F,590,W 174 ST,0,408,E1,BBBBBBB,ALL,ALL,BR,0,2012,-,0,2013,August,2013-08-08 00:39:00,0.0,39.0
1283294229,GCR2838,NY,PAS,2013-08-11,14,VAN,,P,37250,12010,31190,20141223,33.0,33,33,921043,0033,0,0741P,NY,F,551,W 175 ST,0,408,C,BBBBBBB,ALL,ALL,GN,0,2011,-,0,2013,August,2013-08-11 19:41:00,19.0,41.0
1283983631,GBH9379,NY,PAS,2013-08-07,24,SDN,TOYOT,X,63430,0,0,20140722,88.0,88,976,101079,0976,0,0437A,K,F,100,N.PORTLAND AVE,0,408,D5,BBBBBBB,ALL,ALL,WHITE,0,2001,-,0,2013,August,2013-08-07 04:37:00,4.0,37.0
1283983667,MCL78B,NJ,PAS,2013-07-18,24,SDN,SUBAR,H,0,0,0,0,79.0,79,976,101043,0976,0,0839A,K,F,,"760 BROADWAY ,BROOKL",0,408,D,BBBBBBB,ALL,ALL,BLACK,0,2005,-,0,2013,July,2013-07-18 08:39:00,8.0,39.0
1283983679,M367CN,NY,PAS,2013-07-18,24,SDN,HYUND,H,0,0,0,20140510,79.0,79,976,101043,0976,0,0845A,K,F,,760 BROADWAY BROOKLY,0,408,D5,BBBBBBB,ALL,ALL,BLUE,0,2010,-,0,2013,July,2013-07-18 08:45:00,8.0,45.0
1283983734,GAR6813,NY,PAS,2013-07-18,24,SDN,TOYOT,H,0,0,0,20141008,79.0,79,976,101043,0976,0,0907A,K,F,,760 BROADWAY BROOKLY,0,408,D5,BBBBBBB,ALL,ALL,TAN,0,1998,-,0,2013,July,2013-07-18 09:07:00,9.0,7.0
1283983825,GAC2703,NY,PAS,2013-08-12,24,SDN,NISSA,X,23230,41330,83330,20140713,79.0,79,976,101080,0976,0,0656P,K,F,760,BWY,0,408,D5,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,2013,August,2013-08-12 18:56:00,18.0,56.0
